iter	Passed	Remaining
0	111	111460
1	113	56885
2	116	38729
3	120	30105
4	124	24696
5	126	20971
6	128	18241
7	130	16185
8	133	14728
9	136	13513
10	138	12484
11	141	11641
12	143	10915
13	146	10339
14	149	9794
15	151	9291
16	152	8844
17	154	8446
18	158	8158
19	161	7891
20	162	7596
21	165	7344
22	167	7097
23	168	6870
24	170	6652
25	174	6544
26	176	6364
27	179	6228
28	181	6066
29	183	5920
30	185	5801
31	188	5714
32	190	5589
33	192	5474
34	194	5362
35	196	5255
36	197	5152
37	200	5076
38	202	5002
39	207	4968
40	209	4900
41	211	4826
42	214	4771
43	216	4705
44	218	4639
45	221	4586
46	223	4533
47	225	4477
48	229	4444
49	231	4403
50	233	4353
51	235	4301
52	237	4247
53	239	4202
54	242	4158
55	244	4117
56	248	4114
57	250	4070
58	254	4055
59	256	4018
60	258	3979
61	260	3943
62	263	3913
63	265	3888
64	268	3868
65	271	3843
66	274	3820
67	278	3818
68	280	3783
69	290	3855
70	292	3822
71	294	3797
72	300	3810
73	302	3780
74	304	3750
75	306	3725
76	308	3695
77	309	3662
78	311	3636
79	314	3619
80	317	3600
81	319	3577
82	321	3557
83	324	3534
84	326	3512
85	329	3497
86	331	3476
87	333	3451
88	334	3427
89	336	3402
90	338	3380
91	341	3367
92	344	3359
93	346	3338
94	348	3317
95	349	3294
96	351	3275
97	357	3291
98	360	3283
99	363	3268
100	365	3253
101	367	3235
102	370	3227
103	373	3214
104	375	3198
105	377	3181
106	378	3162
107	380	3143
108	382	3127
109	385	3118
110	387	3103
111	389	3087
112	391	3070
113	392	3052
114	394	3036
115	397	3028
116	400	3020
117	403	3017
118	405	3002
119	407	2987
120	409	2975
121	411	2964
122	415	2959
123	419	2960
124	422	2960
125	427	2967
126	430	2955
127	431	2942
128	434	2935
129	437	2926
130	439	2918
131	441	2905
132	445	2907
133	451	2919
134	455	2916
135	458	2912
136	460	2901
137	462	2889
138	465	2882
139	468	2876
140	471	2871
141	472	2857
142	475	2847
143	477	2837
144	479	2827
145	482	2819
146	485	2816
147	488	2813
148	493	2819
149	497	2819
150	500	2815
151	502	2804
152	504	2794
153	506	2783
154	508	2774
155	511	2767
156	515	2766
157	517	2756
158	519	2747
159	521	2737
160	522	2724
161	525	2719
162	531	2726
163	535	2730
164	538	2723
165	543	2730
166	546	2723
167	549	2722
168	552	2715
169	556	2719
170	559	2712
171	561	2705
172	564	2698
173	566	2690
174	570	2688
175	574	2689
176	576	2680
177	579	2674
178	581	2666
179	583	2656
180	586	2651
181	588	2645
182	590	2637
183	592	2626
184	593	2616
185	596	2609
186	600	2611
187	603	2605
188	605	2599
189	607	2589
190	609	2581
191	612	2577
192	615	2571
193	617	2567
194	619	2558
195	621	2548
196	623	2541
197	625	2535
198	629	2534
199	632	2529
200	634	2520
201	635	2510
202	637	2502
203	639	2496
204	642	2491
205	645	2487
206	647	2479
207	648	2470
208	650	2463
209	653	2456
210	655	2450
211	657	2444
212	660	2438
213	661	2430
214	663	2423
215	665	2417
216	667	2409
217	669	2402
218	672	2398
219	674	2391
220	676	2384
221	678	2376
222	680	2370
223	682	2363
224	684	2357
225	686	2352
226	688	2345
227	690	2337
